fecha,timestamp,R:v,R:i,R:p,R:q,S:v,S:i,S:p,S:q,T:v,T:i,T:p,T:q
2023/06/22 02:30:01,1687411801,227.1,1.2,43,7,229.8,1.2,76,-36,228.5,1.1,37,-33
2023/06/22 02:45:00,1687412700,227.8,1.0,11,2,230.6,1.2,91,-28,229.1,1.0,10,-21
2023/06/22 03:00:00,1687413600,227.6,1.1,39,-5,230.3,1.2,83,-20,228.9,0.9,40,-24
2023/06/22 03:15:00,1687414500,227.8,0.8,42,1,230.3,1.2,83,-31,229.0,1.2,33,-18
2023/06/22 03:30:00,1687415400,228.1,1.0,47,9,230.7,1.3,85,-24,229.6,1.1,36,-30
2023/06/22 03:45:00,1687416300,229.6,1.1,48,-5,232.1,1.2,77,-17,230.9,1.2,42,-20
2023/06/22 04:00:01,1687417201,229.5,0.9,40,14,232.2,1.2,87,-24,230.8,1.0,31,-28
2023/06/22 04:15:00,1687418100,228.9,0.9,51,14,231.1,1.0,69,-20,230.0,1.2,35,-38
2023/06/22 04:30:01,1687419001,229.3,1.2,41,6,232.0,1.2,85,-18,230.7,1.0,24,-24
2023/06/22 04:45:00,1687419900,229.5,0.9,37,7,232.1,1.2,65,-27,230.9,1.0,38,-12
2023/06/22 05:00:01,1687420801,229.1,1.2,33,2,231.5,1.1,75,-22,230.1,0.9,10,-1
2023/06/22 05:15:00,1687421700,228.3,1.0,39,6,231.1,1.2,88,-13,229.6,1.2,29,-15
2023/06/22 05:30:00,1687422600,228.3,1.2,42,6,231.0,1.2,79,-22,229.7,1.2,24,-34
2023/06/22 05:45:01,1687423501,227.4,1.0,45,3,230.4,1.2,81,-22,228.8,0.9,38,-28
2023/06/22 06:00:00,1687424400,225.6,0.9,48,11,228.6,1.4,92,-30,227.0,1.1,28,-16
2023/06/22 06:15:00,1687425300,226.7,1.1,43,14,229.6,1.4,81,-26,228.0,1.0,42,-27
2023/06/22 06:30:01,1687426201,225.8,1.0,38,12,228.4,1.2,75,-28,227.3,0.9,35,-26
2023/06/22 06:45:00,1687427100,228.9,1.0,42,-5,231.6,1.3,86,-13,230.1,1.1,32,-20
2023/06/22 07:00:00,1687428000,227.0,1.2,41,0,229.5,1.2,91,-30,227.9,1.0,39,-14
2023/06/22 07:15:01,1687428901,225.7,1.1,47,4,228.3,1.2,86,-14,227.0,1.2,44,-4
2023/06/22 07:30:00,1687429800,229.0,1.0,35,3,231.4,1.2,84,-13,229.8,1.2,39,-4
2023/06/22 07:45:00,1687430700,229.0,1.0,46,1,231.2,1.3,139,-8,229.9,1.1,40,-10
2023/06/22 08:00:01,1687431601,226.7,0.9,43,11,229.0,1.4,135,-15,227.8,0.9,41,-13
2023/06/22 08:15:00,1687432500,227.0,1.2,43,6,229.2,1.3,137,0,227.9,1.0,39,-5
2023/06/22 08:30:00,1687433400,227.5,1.1,42,4,229.8,1.3,129,-11,228.7,1.2,42,-13
2023/06/22 08:45:01,1687434301,224.5,1.2,96,4,226.8,2.8,326,-63,225.6,2.6,221,80
2023/06/22 09:00:00,1687435200,227.7,1.0,77,3,230.0,2.7,311,-73,228.8,2.6,229,90
2023/06/22 09:15:01,1687436101,226.6,1.2,90,8,228.8,3.2,355,-79,227.7,3.0,270,104
2023/06/22 09:30:00,1687437000,226.6,1.0,30,-6,229.1,1.3,130,-13,227.9,1.1,54,-5
2023/06/22 09:45:00,1687437900,226.8,1.2,84,-16,229.2,3.1,346,-74,227.8,3.1,279,99
2023/06/22 10:00:01,1687438801,225.9,1.2,83,-12,228.6,3.3,373,-84,227.1,2.9,247,107
2023/06/22 10:15:00,1687439700,229.3,1.3,88,-16,231.9,3.2,361,-83,230.4,3.0,261,98
2023/06/22 10:30:01,1687440601,227.6,1.2,86,-4,230.3,3.3,372,-74,228.9,3.0,247,105
2023/06/22 10:45:00,1687441500,226.1,1.1,80,-9,228.8,3.1,351,-79,227.2,3.0,262,104
2023/06/22 11:00:00,1687442400,227.6,1.2,91,10,230.0,3.0,333,-79,229.0,2.8,234,103
2023/06/22 11:15:00,1687443300,227.2,1.1,52,5,229.7,2.4,284,-67,228.5,2.3,190,66
2023/06/22 11:30:01,1687444201,228.2,0.9,43,-4,230.8,1.3,141,-5,229.6,1.1,44,-1
2023/06/22 11:45:00,1687445100,226.7,1.2,75,5,229.5,3.3,363,-105,228.3,3.2,277,127
2023/06/22 12:00:00,1687446000,228.1,1.0,37,3,230.9,1.2,130,-17,229.4,1.1,31,-20
2023/06/22 12:15:01,1687446901,227.8,1.0,45,6,230.3,1.4,128,-6,229.1,1.2,39,-15
2023/06/22 12:30:00,1687447800,228.1,1.0,36,7,230.6,1.2,126,-4,229.3,1.0,46,-15
2023/06/22 12:45:01,1687448701,228.0,1.2,44,2,230.3,1.3,118,-4,229.3,1.2,28,-13
2023/06/22 13:00:00,1687449600,227.9,1.1,44,5,229.9,1.3,125,2,229.1,1.2,39,-16
2023/06/22 13:15:00,1687450500,227.2,1.2,31,1,229.7,1.3,126,-4,228.3,1.2,34,-58
2023/06/22 13:30:01,1687451401,228.7,1.0,49,-9,231.1,2.2,257,-49,229.6,2.0,164,52
2023/06/22 13:45:00,1687452300,228.9,1.1,52,6,231.5,1.3,147,-28,230.2,1.3,55,7
2023/06/22 14:00:01,1687453201,229.9,0.8,53,12,232.3,1.5,151,-20,231.0,1.2,51,3
2023/06/22 14:15:00,1687454100,227.9,0.9,51,7,229.9,1.4,153,-7,228.9,1.2,62,-23
2023/06/22 14:30:00,1687455000,227.7,1.0,53,5,230.0,1.4,153,-30,228.6,1.1,46,19
2023/06/22 14:45:00,1687455900,226.8,1.0,41,-3,228.7,1.3,129,-16,227.7,0.9,39,-10
2023/06/22 15:00:00,1687456800,227.5,1.1,41,11,229.8,1.3,143,-4,228.8,1.2,40,-12
2023/06/22 15:15:01,1687457701,229.2,1.0,45,4,231.4,1.4,136,-4,230.2,1.0,33,-19
2023/06/22 15:30:00,1687458600,229.4,1.1,45,9,231.7,1.2,134,-11,230.2,1.0,36,-1
2023/06/22 15:45:00,1687459500,229.8,1.2,42,10,231.7,1.2,126,-6,230.8,1.0,65,-27
2023/06/22 16:00:00,1687460400,228.6,1.1,48,18,230.9,1.2,86,-28,229.8,1.2,40,-4
2023/06/22 16:15:01,1687461301,228.3,0.8,37,3,230.6,1.2,126,-12,229.2,0.9,36,-18
2023/06/22 16:30:00,1687462200,229.0,1.0,33,-3,231.5,1.2,75,-30,230.1,1.1,31,-17
2023/06/22 16:45:01,1687463101,229.5,1.0,52,3,231.8,1.3,83,-30,230.5,0.9,35,-12
2023/06/22 17:00:00,1687464000,226.3,1.0,43,3,228.8,1.3,89,-24,227.5,0.9,37,-4
2023/06/22 17:15:01,1687464901,225.3,0.9,46,15,228.2,1.2,100,-29,226.6,0.9,43,-11
2023/06/22 17:30:01,1687465801,228.7,1.1,45,20,231.6,1.2,77,-21,230.4,1.0,31,-10
2023/06/22 17:45:00,1687466700,228.2,1.2,23,0,231.6,1.2,68,-22,229.7,1.2,2,-29
2023/06/22 18:00:01,1687467601,225.4,0.9,42,-7,228.6,1.1,70,-28,226.9,1.2,56,-2
2023/06/22 18:15:00,1687468500,228.5,1.1,42,2,231.9,1.2,77,-26,230.1,1.2,36,-34
2023/06/22 18:30:01,1687469401,226.9,1.1,42,9,230.4,1.2,83,-29,228.7,1.0,30,-18
2023/06/22 18:45:00,1687470300,226.5,1.2,41,0,230.1,1.3,75,-27,228.2,1.1,22,8
2023/06/22 19:00:00,1687471200,227.9,0.9,16,-3,231.7,1.2,84,-27,230.0,1.1,40,-2
2023/06/22 19:15:00,1687472100,228.5,1.1,36,-13,232.4,1.2,94,-41,230.7,1.0,38,-10
2023/06/22 19:30:00,1687473000,228.8,1.2,41,2,232.1,1.2,75,-28,230.5,1.2,23,-25
2023/06/22 19:45:00,1687473900,228.0,1.0,37,-7,231.7,1.2,74,-15,229.8,1.2,12,-23
2023/06/22 20:00:00,1687474800,227.0,1.2,44,7,230.8,1.2,81,-22,229.0,1.1,40,-24
2023/06/22 20:15:01,1687475701,225.1,1.1,32,-5,229.0,1.2,83,-25,227.4,1.2,31,-31
2023/06/22 20:30:00,1687476600,224.5,1.0,45,-5,228.5,1.2,84,-28,226.7,1.2,33,-29
2023/06/22 20:45:01,1687477501,229.3,1.1,56,9,233.5,1.2,107,-41,231.4,1.1,34,-22
2023/06/22 21:00:01,1687478401,229.3,1.0,67,-5,233.3,1.2,107,-32,231.3,1.2,13,-14
2023/06/22 21:15:00,1687479300,225.4,1.1,34,0,229.2,1.0,84,-30,227.4,1.0,37,-14
2023/06/22 21:30:00,1687480200,226.5,1.1,14,1,230.4,1.2,65,-29,228.7,1.0,-1,-22
2023/06/22 21:45:00,1687481100,227.9,1.1,33,4,231.6,1.2,79,-34,230.0,1.1,23,-20
2023/06/22 22:00:00,1687482000,228.0,1.0,28,14,231.7,1.2,75,-30,230.1,1.0,35,-4
2023/06/22 22:15:01,1687482901,229.3,1.2,52,13,233.4,1.4,117,-40,230.9,1.0,13,-7
2023/06/22 22:30:00,1687483800,229.2,1.1,42,10,232.9,1.2,74,-26,231.1,1.0,19,-31
2023/06/22 22:45:01,1687484701,226.9,1.2,35,12,230.6,1.3,85,-36,229.1,1.2,31,-16
2023/06/22 23:00:01,1687485601,227.2,1.0,42,1,230.7,1.2,78,-36,229.2,1.2,31,-26
2023/06/22 23:15:00,1687486500,228.8,1.2,43,2,232.3,1.2,86,-17,230.7,1.0,40,-23
2023/06/22 23:30:00,1687487400,227.5,0.9,42,7,230.7,1.3,91,-26,229.4,1.2,28,-27
2023/06/22 23:45:00,1687488300,230.0,1.1,55,-5,232.7,1.2,72,-20,231.9,1.1,58,-39
2023/06/23 00:00:01,1687489201,226.0,1.2,39,-4,229.4,1.0,79,-33,227.5,1.2,20,-2
2023/06/23 00:15:00,1687490100,226.8,1.0,33,7,229.7,1.2,70,-34,228.6,1.2,25,-31
2023/06/23 00:30:00,1687491000,227.6,1.1,50,0,230.6,1.3,82,-25,229.4,1.1,30,-32
2023/06/23 00:45:00,1687491900,227.4,1.1,40,12,230.4,1.2,66,-26,229.2,0.9,31,-26
2023/06/23 01:00:01,1687492801,227.1,1.2,51,19,229.8,1.1,68,-19,228.8,1.2,29,-34
