fecha,timestamp,R:ea,R:er,S:ea,S:er,T:ea,T:er
2022/10/25 00:20:01,1666668001,472.49,320.09,482.82,420.68,394.97,366.15
2022/10/25 00:25:01,1666668301,472.72,320.25,483.07,420.9,395.18,366.34
2022/10/25 00:30:01,1666668601,473.56,320.82,483.94,421.63,395.9,367.0
2022/10/25 00:35:00,1666668900,474.02,321.14,484.42,422.04,396.29,367.37
2022/10/25 00:40:01,1666669201,474.02,321.14,484.42,422.04,396.3,367.37
2022/10/25 00:45:01,1666669501,474.02,321.14,484.42,422.04,396.3,367.37
2022/10/25 00:50:00,1666669800,474.02,321.14,484.42,422.04,396.3,367.37
2022/10/25 00:55:01,1666670101,474.03,321.14,484.42,422.04,396.3,367.37
2022/10/25 01:00:00,1666670400,474.03,321.14,484.43,422.05,396.3,367.37
2022/10/25 01:05:00,1666670700,474.19,321.25,484.59,422.19,396.44,367.5
2022/10/25 01:10:01,1666671001,475.03,321.81,485.46,422.91,397.16,368.14
2022/10/25 01:15:01,1666671301,475.57,322.17,486.02,423.38,397.62,368.56
2022/10/25 01:20:00,1666671600,475.58,322.17,486.02,423.38,397.62,368.56
2022/10/25 01:25:01,1666671901,475.58,322.17,486.02,423.38,397.62,368.56
2022/10/25 01:30:00,1666672200,475.58,322.18,486.02,423.39,397.62,368.56
2022/10/25 01:35:01,1666672501,475.58,322.18,486.02,423.39,397.62,368.56
2022/10/25 01:40:00,1666672800,475.58,322.18,486.02,423.39,397.62,368.56
2022/10/25 01:45:00,1666673100,475.64,322.22,486.08,423.44,397.67,368.61
2022/10/25 01:50:00,1666673400,476.46,322.78,486.93,424.16,398.38,369.25
2022/10/25 01:55:00,1666673700,477.12,323.24,487.59,424.73,398.94,369.76
2022/10/25 02:00:00,1666674000,477.12,323.24,487.59,424.73,398.94,369.76
2022/10/25 02:05:01,1666674301,477.12,323.24,487.59,424.73,398.94,369.76
2022/10/25 02:10:00,1666674600,477.12,323.24,487.6,424.73,398.94,369.76
2022/10/25 02:15:00,1666674900,477.12,323.24,487.6,424.73,398.94,369.76
2022/10/25 02:20:00,1666675200,477.13,323.24,487.6,424.74,398.94,369.76
2022/10/25 02:25:01,1666675501,477.14,323.26,487.61,424.75,398.96,369.77
2022/10/25 02:30:00,1666675800,477.96,323.81,488.45,425.46,399.66,370.4
2022/10/25 02:35:00,1666676100,478.66,324.29,489.17,426.07,400.26,370.95
2022/10/25 02:40:01,1666676401,478.66,324.3,489.17,426.07,400.26,370.95
2022/10/25 02:45:00,1666676700,478.66,324.3,489.17,426.07,400.26,370.95
2022/10/25 02:50:00,1666677000,478.67,324.3,489.17,426.07,400.26,370.95
2022/10/25 02:55:01,1666677301,478.67,324.3,489.17,426.08,400.27,370.95
2022/10/25 03:00:01,1666677601,478.67,324.3,489.17,426.08,400.27,370.95
2022/10/25 03:05:00,1666677900,478.67,324.3,489.17,426.08,400.27,370.95
2022/10/25 03:10:00,1666678200,479.44,324.83,489.96,426.75,400.93,371.54
2022/10/25 03:15:00,1666678500,480.21,325.36,490.74,427.4,401.59,372.13
2022/10/25 03:20:01,1666678801,480.21,325.36,490.74,427.41,401.59,372.13
2022/10/25 03:25:01,1666679101,480.22,325.36,490.74,427.41,401.59,372.13
2022/10/25 03:30:00,1666679400,480.22,325.36,490.74,427.41,401.59,372.13
2022/10/25 03:35:00,1666679700,480.22,325.36,490.74,427.41,401.6,372.13
2022/10/25 03:40:01,1666680001,480.22,325.36,490.74,427.42,401.6,372.13
2022/10/25 03:45:00,1666680300,480.22,325.37,490.74,427.42,401.6,372.13
2022/10/25 03:50:01,1666680601,480.86,325.8,491.4,427.98,402.15,372.62
2022/10/25 03:55:01,1666680901,481.73,326.39,492.28,428.71,402.9,373.28
2022/10/25 04:00:01,1666681201,481.76,326.43,492.32,428.75,402.93,373.32
2022/10/25 04:05:01,1666681501,481.77,326.43,492.32,428.76,402.93,373.32
2022/10/25 04:10:00,1666681800,481.77,326.43,492.32,428.76,402.93,373.32
2022/10/25 04:15:01,1666682101,481.77,326.44,492.32,428.76,402.93,373.32
2022/10/25 04:20:01,1666682401,481.77,326.44,492.32,428.76,402.93,373.32
2022/10/25 04:25:00,1666682700,481.78,326.44,492.32,428.77,402.93,373.32
2022/10/25 04:30:01,1666683001,482.3,326.8,492.86,429.22,403.39,373.74
2022/10/25 04:35:00,1666683300,483.16,327.39,493.74,429.95,404.13,374.39
2022/10/25 04:40:01,1666683601,483.31,327.5,493.89,430.1,404.26,374.52
2022/10/25 04:45:00,1666683900,483.31,327.5,493.89,430.1,404.26,374.52
2022/10/25 04:50:01,1666684201,483.32,327.51,493.89,430.11,404.26,374.52
2022/10/25 04:55:00,1666684500,483.32,327.51,493.89,430.11,404.26,374.52
2022/10/25 05:00:01,1666684801,483.32,327.51,493.89,430.11,404.26,374.52
2022/10/25 05:05:00,1666685100,483.32,327.51,493.89,430.11,404.26,374.52
2022/10/25 05:10:00,1666685400,483.75,327.8,494.33,430.48,404.63,374.85
2022/10/25 05:15:00,1666685700,484.6,328.36,495.21,431.19,405.38,375.49
