hora,Tension de Linea L1,Corriente L1,Potencia Activa L1,Potencia Reactiva L1,Factor de Potencia L1,Tension de Linea L2,Corriente L2,Potencia Activa L2,Potencia Reactiva L2,Factor de Potencia L2,Tension de Linea L3,Corriente L3,Potencia Activa L3,Potencia Reactiva L3,Factor de Potencia L3,Potencia Activa III,Potencia Inductiva III,Potencia Capacitiva III,Coseno Fi,Tension entre Lineas L1 y L2,Tension entre Lineas L2 y L3,Tension entre Lineas L3 y L1,Potencia Aparente III,Demanda Maxima,Corriente de las Tres Fases,Corriente de Neutro,Demanda Maxima A2,Demanda Maxima A3,Energia Activa,Energia Reactiva Inductiva,Energia Reactiva Capacitiva
Tue Mar 24 00:00:21 2020,7800.839999999998,3318.9,22649.15,4294957971.1,42949672.07800001,7743.180000000002,4281.3,29082.6,4294954205.35,42949672.07700001,7682.1,3847.5,22842.9,4294951274.15,42949672.1815,74649.05,0.0,38412.5,42949672.070500016,13493.819999999998,13299.84,13399.26,77422.45,0.0,3819.3,0.0,0.0,0.0,101958608.15,583539362.0,986099132.3
Tue Mar 24 00:01:20 2020,7799.5199999999995,3263.1,22092.8,4294957871.7,42949672.07950001,7745.219999999999,4222.2,28665.5,4294954399.0,42949672.08200002,7684.9800000000005,3842.1,22698.85,4294951015.85,42949672.18699999,73491.7,0.0,38601.4,42949672.07250001,13492.14,13303.140000000003,13401.840000000002,77430.1,0.0,3778.2,0.0,0.0,0.0,101959840.55,583539362.0,986099773.3
Tue Mar 24 00:02:20 2020,7798.8,3267.9,22033.15,4294957593.4,42949672.09050002,7745.879999999999,4138.8,27666.75,4294953887.3,42949672.09450002,7686.539999999999,3774.0,22271.65,4294951457.95,42949672.1865,72393.55,0.0,39113.1,42949672.08700001,13491.779999999999,13306.8,13401.840000000002,77441.4,0.0,3742.8,0.0,0.0,0.0,101961055.4,583539362.0,986100420.65
Tue Mar 24 00:03:20 2020,7795.860000000001,3254.4,21893.9,4294957603.4,42949672.08900002,7742.9400000000005,4128.6,27651.75,4294954071.15,42949672.09050001,7684.62,3759.9,22211.9,4294951562.3,42949672.18549998,71787.5,0.0,38621.5,42949672.085000016,13486.920000000002,13304.76,13400.640000000003,77419.95,0.0,3717.2,0.0,0.0,0.0,101962249.9,583539362.0,986101067.6
Tue Mar 24 00:04:20 2020,7799.219999999998,3243.6,21834.2,4294957653.1,42949672.09150002,7744.079999999999,4096.8,27552.5,4294954488.5,42949672.08200002,7687.6799999999985,3763.2,22271.5,4294951696.35,42949672.18299999,71648.3,0.0,38229.05,42949672.08550002,13489.860000000004,13309.740000000002,13401.0,77435.15,0.0,3705.0,0.0,0.0,0.0,101963447.8,583539362.0,986101707.4
Tue Mar 24 00:05:20 2020,7797.659999999999,3252.3,21874.05,4294957643.1,42949672.09050002,7746.9,4143.9,28213.2,4294955000.2,42949672.07950001,7688.219999999999,3856.2,23001.95,4294951373.7,42949672.17899998,73109.1,0.0,37846.3,42949672.074000016,13490.880000000001,13309.98,13403.940000000002,77447.2,0.0,3750.9,0.0,0.0,0.0,101964651.15,583539362.0,986102339.8
Tue Mar 24 00:06:20 2020,7799.0999999999985,3217.8,21392.25,4294957300.4,42949672.09350001,7747.019999999999,4086.0,27820.75,4294955233.8,42949672.07450001,7689.839999999999,3864.6,23071.65,4294951338.75,42949672.179999985,72329.4,0.0,37945.6,42949672.07750001,13495.320000000002,13312.320000000002,13406.16,77460.25,0.0,3714.5,0.0,0.0,0.0,101965866.7,583539362.0,986102970.35
Tue Mar 24 00:07:20 2020,7801.9800000000005,3207.3,21258.0,4294957057.1,42949672.099500015,7750.26,4045.8,27527.6,4294955397.7,42949672.073000014,7692.600000000001,3880.5,23170.85,4294951219.6,42949672.17899999,72125.4,0.0,38303.3,42949672.08350001,13499.040000000003,13320.719999999998,13407.9,77491.15,0.0,3711.0,0.0,0.0,0.0,101967052.6,583539362.0,986103602.4
Tue Mar 24 00:08:19 2020,7800.359999999999,3227.7,21426.8,4294957161.35,42949672.099000014,7752.659999999998,4065.0,27646.85,4294955278.4,42949672.07500001,7692.420000000001,3883.8,23290.05,4294951393.4,42949672.176999986,72269.35,0.0,38159.25,42949672.08150001,13498.560000000001,13319.880000000001,13407.300000000003,77098.9,0.0,3713.0,0.0,0.0,0.0,101968250.6,583539362.0,986104229.1
Tue Mar 24 00:09:19 2020,7804.0199999999995,3202.5,21461.75,4294957578.55,42949672.09500001,7753.08,4115.1,28089.05,4294955218.8,42949672.073500015,7693.499999999998,3871.2,22892.5,4294951348.8,42949672.181499995,71827.35,0.0,37806.3,42949672.07800002,13502.040000000003,13321.319999999998,13411.140000000003,76732.6,0.0,3721.5,0.0,0.0,0.0,101969452.35,583539362.0,986104861.1
Tue Mar 24 00:10:19 2020,7806.960000000001,3270.6,22236.7,4294958015.85,42949672.080500014,7755.719999999998,4180.5,28486.65,4294954816.4,42949672.07650001,7695.780000000001,3846.9,22937.25,4294951413.25,42949672.17899998,73918.75,0.0,37791.6,42949672.07150002,13506.419999999998,13325.64,13417.26,77913.1,0.0,3786.3,0.0,0.0,0.0,101970669.25,583539362.0,986105491.6
Tue Mar 24 00:11:19 2020,7807.500000000002,3331.8,22614.25,4294957722.6,42949672.08650002,7752.9,4134.6,27701.6,4294954100.9,42949672.09100001,7696.08,3732.3,22316.4,4294952233.0,42949672.177,72577.6,0.0,37811.5,42949672.07800001,13505.099999999997,13322.4,13415.88,77522.15,0.0,3730.0,0.0,0.0,0.0,101971895.9,583539362.0,986106121.15
Tue Mar 24 00:12:18 2020,7805.699999999999,3313.2,22400.75,4294957598.4,42949672.08900001,7752.780000000001,4080.0,27199.85,4294954016.45,42949672.08900002,7695.240000000001,3699.6,22013.3,4294952247.95,42949672.183000006,71559.1,0.0,37985.3,42949672.086500004,13504.560000000001,13323.719999999998,13418.1,77523.4,0.0,3691.8,0.0,0.0,0.0,101973079.4,583539362.0,986106749.75
Tue Mar 24 00:13:18 2020,7811.8200000000015,3321.3,22470.3,4294957523.9,42949672.09100002,7757.459999999999,4060.2,27025.95,4294954021.55,42949672.09400002,7700.76,3693.0,22162.3,4294952570.8,42949672.17449998,71703.25,0.0,37737.15,42949672.08100001,13512.960000000001,13331.460000000001,13424.88,77569.3,0.0,3692.4,0.0,0.0,0.0,101974266.7,583539362.0,986107371.4
Tue Mar 24 00:14:18 2020,7814.82,3294.9,22316.2,4294957782.25,42949672.084000014,7760.519999999999,4127.1,27880.45,4294954523.2,42949672.08400001,7704.3,3734.1,22380.8,4294952262.85,42949672.17949999,72418.75,0.0,36981.5,42949672.07299999,13516.26,13334.820000000002,13429.619999999999,77589.3,0.0,3715.5,0.0,0.0,0.0,101975465.8,583539362.0,986107995.85
Tue Mar 24 00:15:18 2020,7814.339999999998,3277.5,22301.4,4294958045.65,42949672.07750001,7760.520000000001,4137.0,28248.2,4294955109.5,42949672.075,7704.1799999999985,3805.8,22902.5,4294951999.55,42949672.17149998,73397.4,0.0,36743.15,42949672.062000014,13517.939999999999,13336.38,13430.4,77598.7,0.0,3736.3,0.0,0.0,0.0,101976685.7,583539362.0,986108610.25
Tue Mar 24 00:16:18 2020,7819.5,3311.1,22529.9,4294957901.45,42949672.085000016,7762.9800000000005,4134.3,28263.0,4294955223.75,42949672.07500001,7709.220000000001,3815.1,23041.65,4294952103.95,42949672.16949998,73794.75,0.0,36653.95,42949672.06099999,13524.059999999998,13342.26,13439.34,77639.65,0.0,3753.0,0.0,0.0,0.0,101977913.0,583539362.0,986109222.5
Tue Mar 24 00:17:18 2020,7821.179999999998,3316.5,22619.2,4294958015.9,42949672.08350001,7764.24,4148.4,28347.45,4294955094.7,42949672.07700001,7710.42,3811.8,23036.65,4294952054.15,42949672.17399998,73973.5,0.0,36768.05,42949672.062,13522.680000000002,13345.140000000003,13439.7,77649.25,0.0,3765.0,0.0,0.0,0.0,101979144.65,583539362.0,986109833.85
Tue Mar 24 00:18:18 2020,7815.06,3378.3,23056.5,4294957752.45,42949672.077000014,7759.74,4159.8,28402.05,4294954985.35,42949672.07450001,7705.680000000002,3844.5,23349.6,4294952153.6,42949672.16449998,74947.35,0.0,37001.85,42949672.065500006,13515.12,13336.440000000002,13432.439999999999,77598.15,0.0,3797.0,0.0,0.0,0.0,101980383.45,583539362.0,986110448.8
Tue Mar 24 00:19:18 2020,7811.580000000004,3412.8,23458.95,4294958055.65,42949672.074000016,7759.5599999999995,4207.5,28630.65,4294954572.95,42949672.07800002,7703.579999999999,3807.9,23141.1,4294952382.05,42949672.16699999,75384.35,0.0,36842.7,42949672.06450001,13512.6,13335.060000000001,13428.3,77579.95,0.0,3814.7,0.0,0.0,0.0,101981638.45,583539362.0,986111063.35
Tue Mar 24 00:20:18 2020,7811.700000000002,3393.0,23324.8,4294958115.35,42949672.07150002,7758.780000000001,4192.2,28262.95,4294954160.6,42949672.0845,7704.0599999999995,3739.5,22619.4,4294952620.6,42949672.16699999,74152.7,0.0,37016.55,42949672.06500001,13511.820000000002,13335.240000000002,13426.439999999999,77573.65,0.0,3768.5,0.0,0.0,0.0,101982886.4,583539362.0,986111678.75
Tue Mar 24 00:21:18 2020,7813.860000000001,3345.9,22808.1,4294957896.55,42949672.08000001,7760.819999999998,4100.7,27304.2,4294953802.9,42949672.10000001,7706.0999999999985,3663.0,21923.85,4294952739.75,42949672.17449999,72041.2,0.0,37513.45,42949672.07850001,13513.5,13338.180000000002,13430.459999999997,77604.6,0.0,3707.6,0.0,0.0,0.0,101984100.8,583539362.0,986112299.75
Tue Mar 24 00:22:18 2020,7812.839999999999,3369.0,23071.4,4294958065.55,42949672.077000014,7761.360000000002,4165.5,27696.6,4294953569.45,42949672.09750002,7706.76,3678.9,21993.45,4294952630.45,42949672.17549999,72726.65,0.0,37682.3,42949672.07450001,13516.499999999996,13341.420000000002,13431.0,77600.7,0.0,3730.9,0.0,0.0,0.0,101985296.5,583539362.0,986112926.75
