DISPOSITIVO,timestamp_UTC,timestamp_LOCAL,P
Maquina de Bolsas,1697036100,2023-10-11 11:55:00 -03,232
Maquina de Bolsas,1697035801,2023-10-11 11:50:01 -03,216
Maquina de Bolsas,1697035500,2023-10-11 11:45:00 -03,232
Maquina de Bolsas,1697035200,2023-10-11 11:40:00 -03,242
Maquina de Bolsas,1697034901,2023-10-11 11:35:01 -03,223
Maquina de Bolsas,1697034600,2023-10-11 11:30:00 -03,223
Maquina de Bolsas,1697034300,2023-10-11 11:25:00 -03,220
Maquina de Bolsas,1697034001,2023-10-11 11:20:01 -03,219
Maquina de Bolsas,1697033700,2023-10-11 11:15:00 -03,233
Maquina de Bolsas,1697033401,2023-10-11 11:10:01 -03,231
Maquina de Bolsas,1697033100,2023-10-11 11:05:00 -03,214
Maquina de Bolsas,1697032800,2023-10-11 11:00:00 -03,214
Maquina de Bolsas,1697032501,2023-10-11 10:55:01 -03,212
Maquina de Bolsas,1697032200,2023-10-11 10:50:00 -03,463
Maquina de Bolsas,1697031901,2023-10-11 10:45:01 -03,178
Maquina de Bolsas,1697031600,2023-10-11 10:40:00 -03,203
Maquina de Bolsas,1697031300,2023-10-11 10:35:00 -03,224
Maquina de Bolsas,1697031001,2023-10-11 10:30:01 -03,224
Maquina de Bolsas,1697030700,2023-10-11 10:25:00 -03,218
Maquina de Bolsas,1697030401,2023-10-11 10:20:01 -03,218
Maquina de Bolsas,1697030100,2023-10-11 10:15:00 -03,212
Maquina de Bolsas,1697029801,2023-10-11 10:10:01 -03,461
Maquina de Bolsas,1697029500,2023-10-11 10:05:00 -03,477
Maquina de Bolsas,1697029201,2023-10-11 10:00:01 -03,221
Maquina de Bolsas,1697028900,2023-10-11 09:55:00 -03,225
Maquina de Bolsas,1697028601,2023-10-11 09:50:01 -03,213
Maquina de Bolsas,1697028300,2023-10-11 09:45:00 -03,203
Maquina de Bolsas,1697028001,2023-10-11 09:40:01 -03,217
Maquina de Bolsas,1697027700,2023-10-11 09:35:00 -03,223
Maquina de Bolsas,1697027400,2023-10-11 09:30:00 -03,215
Maquina de Bolsas,1697027100,2023-10-11 09:25:00 -03,218
Maquina de Bolsas,1697026800,2023-10-11 09:20:00 -03,226
Maquina de Bolsas,1697026501,2023-10-11 09:15:01 -03,199
Maquina de Bolsas,1697026200,2023-10-11 09:10:00 -03,230
Maquina de Bolsas,1697025901,2023-10-11 09:05:01 -03,208
Maquina de Bolsas,1697025600,2023-10-11 09:00:00 -03,214
Maquina de Bolsas,1697025301,2023-10-11 08:55:01 -03,209
Maquina de Bolsas,1697025000,2023-10-11 08:50:00 -03,221
Maquina de Bolsas,1697024701,2023-10-11 08:45:01 -03,212
Maquina de Bolsas,1697024400,2023-10-11 08:40:00 -03,204
Maquina de Bolsas,1697024101,2023-10-11 08:35:01 -03,233
Maquina de Bolsas,1697023800,2023-10-11 08:30:00 -03,213
Maquina de Bolsas,1697023500,2023-10-11 08:25:00 -03,210
Maquina de Bolsas,1697023201,2023-10-11 08:20:01 -03,219
Maquina de Bolsas,1697022900,2023-10-11 08:15:00 -03,197
Maquina de Bolsas,1697022600,2023-10-11 08:10:00 -03,220
Maquina de Bolsas,1697022301,2023-10-11 08:05:01 -03,199
Maquina de Bolsas,1697022000,2023-10-11 08:00:00 -03,212
Maquina de Bolsas,1697021701,2023-10-11 07:55:01 -03,215
Maquina de Bolsas,1697021400,2023-10-11 07:50:00 -03,207
Maquina de Bolsas,1697021101,2023-10-11 07:45:01 -03,220
Maquina de Bolsas,1697020800,2023-10-11 07:40:00 -03,212
Maquina de Bolsas,1697020501,2023-10-11 07:35:01 -03,210
Maquina de Bolsas,1697020200,2023-10-11 07:30:00 -03,207
Maquina de Bolsas,1697019901,2023-10-11 07:25:01 -03,226
Maquina de Bolsas,1697019600,2023-10-11 07:20:00 -03,212
Maquina de Bolsas,1697019301,2023-10-11 07:15:01 -03,221
Maquina de Bolsas,1697019000,2023-10-11 07:10:00 -03,235
Maquina de Bolsas,1697018701,2023-10-11 07:05:01 -03,224
Maquina de Bolsas,1697018400,2023-10-11 07:00:00 -03,212
Maquina de Bolsas,1697018101,2023-10-11 06:55:01 -03,213
Maquina de Bolsas,1697017800,2023-10-11 06:50:00 -03,209
Maquina de Bolsas,1697017500,2023-10-11 06:45:00 -03,289
Maquina de Bolsas,1697017200,2023-10-11 06:40:00 -03,238
Maquina de Bolsas,1697016900,2023-10-11 06:35:00 -03,196
Maquina de Bolsas,1697016600,2023-10-11 06:30:00 -03,213
Maquina de Bolsas,1697016300,2023-10-11 06:25:00 -03,212
Maquina de Bolsas,1697016000,2023-10-11 06:20:00 -03,211
Maquina de Bolsas,1697015700,2023-10-11 06:15:00 -03,204
Maquina de Bolsas,1697015400,2023-10-11 06:10:00 -03,202
Maquina de Bolsas,1697015100,2023-10-11 06:05:00 -03,217
Maquina de Bolsas,1697014801,2023-10-11 06:00:01 -03,213
Maquina de Bolsas,1697014500,2023-10-11 05:55:00 -03,213
Maquina de Bolsas,1697014201,2023-10-11 05:50:01 -03,222
Maquina de Bolsas,1697013900,2023-10-11 05:45:00 -03,213
Maquina de Bolsas,1697013601,2023-10-11 05:40:01 -03,191
Maquina de Bolsas,1697013300,2023-10-11 05:35:00 -03,210
Maquina de Bolsas,1697013000,2023-10-11 05:30:00 -03,204
Maquina de Bolsas,1697012700,2023-10-11 05:25:00 -03,218
Maquina de Bolsas,1697012401,2023-10-11 05:20:01 -03,218
Maquina de Bolsas,1697012100,2023-10-11 05:15:00 -03,190
Maquina de Bolsas,1697011801,2023-10-11 05:10:01 -03,194
Maquina de Bolsas,1697011500,2023-10-11 05:05:00 -03,224
Maquina de Bolsas,1697011201,2023-10-11 05:00:01 -03,215
Maquina de Bolsas,1697010900,2023-10-11 04:55:00 -03,185
Maquina de Bolsas,1697010601,2023-10-11 04:50:01 -03,218
Maquina de Bolsas,1697010301,2023-10-11 04:45:01 -03,214
Maquina de Bolsas,1697010000,2023-10-11 04:40:00 -03,215
Maquina de Bolsas,1697009700,2023-10-11 04:35:00 -03,202
Maquina de Bolsas,1697009400,2023-10-11 04:30:00 -03,204
Maquina de Bolsas,1697009100,2023-10-11 04:25:00 -03,225
Maquina de Bolsas,1697008800,2023-10-11 04:20:00 -03,233
Maquina de Bolsas,1697008501,2023-10-11 04:15:01 -03,209
Maquina de Bolsas,1697008200,2023-10-11 04:10:00 -03,238
Maquina de Bolsas,1697007901,2023-10-11 04:05:01 -03,207
Maquina de Bolsas,1697007600,2023-10-11 04:00:00 -03,209
Maquina de Bolsas,1697007300,2023-10-11 03:55:00 -03,218
Maquina de Bolsas,1697007000,2023-10-11 03:50:00 -03,228
Maquina de Bolsas,1697006700,2023-10-11 03:45:00 -03,215
Maquina de Bolsas,1697006400,2023-10-11 03:40:00 -03,197
Maquina de Bolsas,1697006100,2023-10-11 03:35:00 -03,202
Maquina de Bolsas,1697005800,2023-10-11 03:30:00 -03,207
Maquina de Bolsas,1697005501,2023-10-11 03:25:01 -03,192
Maquina de Bolsas,1697005200,2023-10-11 03:20:00 -03,205
Maquina de Bolsas,1697004900,2023-10-11 03:15:00 -03,223
Maquina de Bolsas,1697004600,2023-10-11 03:10:00 -03,202
Maquina de Bolsas,1697004300,2023-10-11 03:05:00 -03,208
Maquina de Bolsas,1697004000,2023-10-11 03:00:00 -03,202
Maquina de Bolsas,1697003700,2023-10-11 02:55:00 -03,208
Maquina de Bolsas,1697003400,2023-10-11 02:50:00 -03,224
Maquina de Bolsas,1697003100,2023-10-11 02:45:00 -03,214
Maquina de Bolsas,1697002801,2023-10-11 02:40:01 -03,241
Maquina de Bolsas,1697002500,2023-10-11 02:35:00 -03,226
Maquina de Bolsas,1697002200,2023-10-11 02:30:00 -03,215
Maquina de Bolsas,1697001900,2023-10-11 02:25:00 -03,189
Maquina de Bolsas,1697001600,2023-10-11 02:20:00 -03,216
Maquina de Bolsas,1697001301,2023-10-11 02:15:01 -03,210
Maquina de Bolsas,1697001000,2023-10-11 02:10:00 -03,217
Maquina de Bolsas,1697000700,2023-10-11 02:05:00 -03,202
Maquina de Bolsas,1697000401,2023-10-11 02:00:01 -03,218
Maquina de Bolsas,1697000100,2023-10-11 01:55:00 -03,201
Maquina de Bolsas,1696999801,2023-10-11 01:50:01 -03,215
Maquina de Bolsas,1696999500,2023-10-11 01:45:00 -03,214
Maquina de Bolsas,1696999201,2023-10-11 01:40:01 -03,214
Maquina de Bolsas,1696998900,2023-10-11 01:35:00 -03,205
Maquina de Bolsas,1696998601,2023-10-11 01:30:01 -03,206
Maquina de Bolsas,1696998300,2023-10-11 01:25:00 -03,207
Maquina de Bolsas,1696998001,2023-10-11 01:20:01 -03,196
