DISPOSITIVO,timestamp_UTC,timestamp_LOCAL,P
Maquina de Bolsas,1697644500,2023-10-18 12:55:00 -03,228
Maquina de Bolsas,1697644201,2023-10-18 12:50:01 -03,229
Maquina de Bolsas,1697643900,2023-10-18 12:45:00 -03,207
Maquina de Bolsas,1697643601,2023-10-18 12:40:01 -03,225
Maquina de Bolsas,1697643301,2023-10-18 12:35:01 -03,226
Maquina de Bolsas,1697643000,2023-10-18 12:30:00 -03,224
Maquina de Bolsas,1697642701,2023-10-18 12:25:01 -03,210
Maquina de Bolsas,1697642400,2023-10-18 12:20:00 -03,219
Maquina de Bolsas,1697642101,2023-10-18 12:15:01 -03,229
Maquina de Bolsas,1697641800,2023-10-18 12:10:00 -03,200
Maquina de Bolsas,1697641500,2023-10-18 12:05:00 -03,239
Maquina de Bolsas,1697641200,2023-10-18 12:00:00 -03,233
Maquina de Bolsas,1697640925,2023-10-18 11:55:25 -03,759
Maquina de Bolsas,1697640626,2023-10-18 11:50:26 -03,786
Maquina de Bolsas,1697640300,2023-10-18 11:45:00 -03,764
Maquina de Bolsas,1697640001,2023-10-18 11:40:01 -03,727
Maquina de Bolsas,1697639711,2023-10-18 11:35:11 -03,507
Maquina de Bolsas,1697639414,2023-10-18 11:30:14 -03,238
Maquina de Bolsas,1697639114,2023-10-18 11:25:14 -03,220
Maquina de Bolsas,1697638800,2023-10-18 11:20:00 -03,226
Maquina de Bolsas,1697638500,2023-10-18 11:15:00 -03,236
Maquina de Bolsas,1697638201,2023-10-18 11:10:01 -03,756
Maquina de Bolsas,1697637900,2023-10-18 11:05:00 -03,661
Maquina de Bolsas,1697637601,2023-10-18 11:00:01 -03,704
Maquina de Bolsas,1697637300,2023-10-18 10:55:00 -03,706
Maquina de Bolsas,1697637001,2023-10-18 10:50:01 -03,251
Maquina de Bolsas,1697636700,2023-10-18 10:45:00 -03,754
Maquina de Bolsas,1697636401,2023-10-18 10:40:01 -03,724
Maquina de Bolsas,1697636100,2023-10-18 10:35:00 -03,752
Maquina de Bolsas,1697635801,2023-10-18 10:30:01 -03,754
Maquina de Bolsas,1697635500,2023-10-18 10:25:00 -03,751
Maquina de Bolsas,1697635201,2023-10-18 10:20:01 -03,480
Maquina de Bolsas,1697634900,2023-10-18 10:15:00 -03,492
Maquina de Bolsas,1697634601,2023-10-18 10:10:01 -03,885
Maquina de Bolsas,1697634300,2023-10-18 10:05:00 -03,874
Maquina de Bolsas,1697634001,2023-10-18 10:00:01 -03,231
Maquina de Bolsas,1697633700,2023-10-18 09:55:00 -03,226
Maquina de Bolsas,1697633400,2023-10-18 09:50:00 -03,274
Maquina de Bolsas,1697633101,2023-10-18 09:45:01 -03,592
Maquina de Bolsas,1697632800,2023-10-18 09:40:00 -03,633
Maquina de Bolsas,1697632501,2023-10-18 09:35:01 -03,495
Maquina de Bolsas,1697632200,2023-10-18 09:30:00 -03,212
Maquina de Bolsas,1697631901,2023-10-18 09:25:01 -03,222
Maquina de Bolsas,1697631600,2023-10-18 09:20:00 -03,236
Maquina de Bolsas,1697631301,2023-10-18 09:15:01 -03,151
Maquina de Bolsas,1697631000,2023-10-18 09:10:00 -03,152
Maquina de Bolsas,1697630701,2023-10-18 09:05:01 -03,196
Maquina de Bolsas,1697630400,2023-10-18 09:00:00 -03,150
Maquina de Bolsas,1697630101,2023-10-18 08:55:01 -03,151
Maquina de Bolsas,1697629800,2023-10-18 08:50:00 -03,155
Maquina de Bolsas,1697629501,2023-10-18 08:45:01 -03,186
Maquina de Bolsas,1697629200,2023-10-18 08:40:00 -03,152
Maquina de Bolsas,1697628901,2023-10-18 08:35:01 -03,159
Maquina de Bolsas,1697628600,2023-10-18 08:30:00 -03,183
Maquina de Bolsas,1697628301,2023-10-18 08:25:01 -03,157
Maquina de Bolsas,1697628000,2023-10-18 08:20:00 -03,157
Maquina de Bolsas,1697627701,2023-10-18 08:15:01 -03,184
Maquina de Bolsas,1697627400,2023-10-18 08:10:00 -03,189
Maquina de Bolsas,1697627101,2023-10-18 08:05:01 -03,150
Maquina de Bolsas,1697626800,2023-10-18 08:00:00 -03,161
Maquina de Bolsas,1697626501,2023-10-18 07:55:01 -03,164
Maquina de Bolsas,1697626200,2023-10-18 07:50:00 -03,165
Maquina de Bolsas,1697625901,2023-10-18 07:45:01 -03,168
Maquina de Bolsas,1697625600,2023-10-18 07:40:00 -03,158
Maquina de Bolsas,1697625300,2023-10-18 07:35:00 -03,177
Maquina de Bolsas,1697625001,2023-10-18 07:30:01 -03,175
Maquina de Bolsas,1697624700,2023-10-18 07:25:00 -03,153
Maquina de Bolsas,1697624401,2023-10-18 07:20:01 -03,176
Maquina de Bolsas,1697624100,2023-10-18 07:15:00 -03,172
Maquina de Bolsas,1697623801,2023-10-18 07:10:01 -03,181
Maquina de Bolsas,1697623500,2023-10-18 07:05:00 -03,162
Maquina de Bolsas,1697623201,2023-10-18 07:00:01 -03,154
Maquina de Bolsas,1697622900,2023-10-18 06:55:00 -03,127
Maquina de Bolsas,1697622601,2023-10-18 06:50:01 -03,157
Maquina de Bolsas,1697622300,2023-10-18 06:45:00 -03,153
Maquina de Bolsas,1697622001,2023-10-18 06:40:01 -03,158
Maquina de Bolsas,1697621700,2023-10-18 06:35:00 -03,154
Maquina de Bolsas,1697621401,2023-10-18 06:30:01 -03,190
Maquina de Bolsas,1697621100,2023-10-18 06:25:00 -03,166
Maquina de Bolsas,1697620800,2023-10-18 06:20:00 -03,196
