legajo;1/11/2023;2/11/2023;3/11/2023;4/11/2023;5/11/2023;6/11/2023;7/11/2023;8/11/2023;9/11/2023;10/11/2023;11/11/2023;12/11/2023;13/11/2023;14/11/2023;15/11/2023;16/11/2023;17/11/2023;18/11/2023;19/11/2023;20/11/2023
107;0.00;5.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.00;8.00;8.00;8.00;5.00;0.00;5.00
238;8.00;0.00;8.00;0.00;12.00;0.00;8.00;8.00;8.00;8.00;0.00;12.00;0.00;8.00;8.00;8.00;8.00;0.00;0.00;0.00
240;7.60;5.00;0.00;0.00;0.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;4.30;5.50;6.00;7.00;0.00;9.00;0.00;0.00
298;8.00;8.00;0.00;0.00;0.00;9.00;8.00;7.50;5.30;0.00;0.00;0.00;6.50;7.50;8.00;8.00;5.00;12.00;0.00;0.00
493;6.20;7.80;0.00;0.00;0.00;0.00;8.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
532;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
574;8.00;8.00;0.00;0.00;0.00;0.00;8.00;8.00;8.00;0.00;0.00;0.00;8.00;8.00;8.00;8.00;0.00;0.00;0.00;0.00
591;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
666;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
835;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
852;0.00;0.00;0.00;0.00;0.00;0.00;7.00;7.00;6.00;0.00;0.00;0.00;6.00;6.00;6.00;8.00;0.00;0.00;0.00;0.00
853;8.20;8.00;0.00;0.00;0.00;7.80;7.00;7.90;5.80;3.00;0.00;0.00;4.40;6.90;0.00;5.50;5.50;11.00;0.00;0.00
857;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
932;0.00;7.00;0.00;0.00;0.00;0.00;0.00;6.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.00;0.00;0.00;0.00;0.00
962;8.00;7.00;0.00;0.00;0.00;6.00;0.00;8.00;8.00;2.00;0.00;11.30;0.00;8.00;8.00;8.00;8.00;0.00;0.00;0.00
970;8.00;8.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.00;9.00;8.90;8.00;0.00;0.00;0.00;0.00
971;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
974;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.00
986;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.00;8.00;8.00;8.00;8.00;12.00;0.00;0.00
1032;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1035;8.00;4.00;4.00;0.00;0.00;8.00;8.00;8.00;8.00;0.00;0.00;0.00;8.00;8.00;8.50;8.00;5.20;0.00;0.00;0.00
1038;8.00;8.50;7.00;0.00;0.00;8.00;7.50;7.00;8.00;0.00;0.00;0.00;8.00;8.00;8.00;8.00;0.00;0.00;0.00;0.00
1046;8.00;8.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.00;8.00;8.00;0.00;5.00;0.00;5.00
1047;8.00;8.00;8.00;5.00;0.00;8.00;8.00;8.00;8.00;8.00;5.00;0.00;8.00;8.00;8.00;8.00;8.00;0.00;0.00;5.00
1050;8.00;8.00;8.00;0.00;0.00;8.00;0.00;0.00;8.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1056;8.90;9.30;5.80;0.00;0.00;4.50;9.80;0.00;0.00;6.40;0.00;0.00;7.00;8.00;7.30;5.80;6.70;0.00;0.00;0.00
1072;4.50;4.50;4.50;0.00;0.00;4.50;4.50;4.50;0.00;4.50;0.00;0.00;4.50;4.50;4.50;4.50;0.00;0.00;0.00;0.00
1081;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1083;6.30;7.00;6.00;0.00;0.00;4.40;5.70;6.90;5.40;0.00;0.00;0.00;6.80;8.00;8.00;6.60;7.30;0.00;0.00;0.00
1118;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1122;8.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1129;8.00;8.00;0.00;0.00;0.00;8.00;8.00;8.00;8.00;0.00;0.00;0.00;8.00;8.00;8.00;8.00;0.00;0.00;0.00;0.00
1137;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.00;0.00
1153;7.50;2.50;7.50;0.00;0.00;8.00;8.00;8.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1163;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1189;7.00;7.00;5.00;0.00;0.00;0.00;7.00;0.00;0.00;0.00;0.00;0.00;9.00;7.00;6.00;0.00;0.00;0.00;0.00;0.00
1202;9.00;5.80;0.00;0.00;0.00;8.50;0.00;7.00;7.40;3.00;0.00;0.00;7.60;7.50;7.00;5.70;7.00;0.00;0.00;0.00
1216;6.20;0.00;7.30;0.00;0.00;0.00;8.00;5.90;6.80;0.00;0.00;0.00;7.00;7.50;5.10;5.00;7.00;0.00;0.00;0.00
1228;0.00;8.00;7.00;0.00;0.00;8.00;8.00;0.00;7.50;8.00;0.00;0.00;8.00;2.20;7.00;8.00;0.00;0.00;0.00;0.00
1236;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1241;0.00;9.80;0.00;0.00;0.00;6.00;0.00;0.00;6.30;0.00;0.00;0.00;0.00;6.30;0.00;8.20;0.00;0.00;0.00;0.00
1244;7.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1245;8.00;8.00;5.00;0.00;0.00;6.50;8.00;8.00;8.00;6.00;0.00;0.00;8.00;7.00;8.00;8.00;8.00;2.40;0.00;8.00
1291;8.00;0.00;0.00;0.00;0.00;0.00;8.00;8.00;8.00;8.00;0.00;0.00;8.00;8.00;8.00;8.00;0.00;0.00;0.00;0.00
1310;7.40;6.80;0.00;4.00;0.00;6.60;5.60;8.00;8.00;0.00;0.00;0.00;8.00;8.00;7.00;7.40;3.60;0.00;0.00;0.00
1315;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1317;8.00;8.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.00;8.00;7.00;7.00;7.00;0.00;0.00;0.00
1320;5.10;7.00;8.00;0.00;0.00;0.00;7.00;8.00;11.50;8.00;0.00;0.00;0.00;6.50;7.30;10.00;11.00;10.00;0.00;0.00
1325;8.00;0.00;8.00;0.00;0.00;8.00;8.00;0.00;8.00;0.00;0.00;0.00;8.00;8.00;8.00;8.00;7.00;0.00;0.00;0.00
1340;8.00;0.00;8.00;0.00;0.00;8.00;8.00;8.00;8.00;8.00;0.00;0.00;8.00;8.00;8.00;8.00;0.00;0.00;0.00;8.00
1346;8.00;7.50;5.20;0.00;0.00;7.20;5.30;9.00;6.40;5.50;0.00;0.00;6.60;8.00;8.00;7.50;5.30;0.00;0.00;0.00
1347;8.00;8.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1352;0.00;8.00;8.00;5.00;0.00;8.00;8.00;8.00;8.00;8.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1388;7.30;6.50;6.30;4.00;0.00;0.00;9.00;7.00;0.00;6.50;0.00;0.00;6.00;8.00;7.00;10.30;6.00;0.00;0.00;0.00
1395;0.00;9.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.00;0.00;4.30;0.00;0.00;0.00;0.00
1397;7.50;0.00;0.00;0.00;0.00;7.50;7.50;7.50;8.00;0.00;0.00;0.00;0.00;0.00;8.00;7.50;0.00;0.00;0.00;0.00
1404;0.00;4.00;0.00;0.00;0.00;3.00;0.00;0.00;6.60;0.00;0.00;0.00;3.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
