OP,Tiros Generales,Producto,Fecha de despacho
627,180000,FOLLETOS ALOISE SEPTIMBRE,19/08/2016
628,185000,FOLLETOS PEROZZI SEPTIEMBRE,19/08/2016
629,97875,VANIDADES 56-13,23/08/2016
630,986000,PARA TI COLECCIONES 4911,29/08/2016
631,256666,PARA TI POCKET 31 COLECCIONES,24/08/2016
632,24000,DIARIO DE IZQUIERDA 635,23/08/2016
633,395250,GENTE 2667,25/08/2016
634,500250,PAPARAZZI 773,25/08/2016
637,14000,DIARIO DE IZQUIERDA 636,31/08/2016
638,120000,TEJIDO DOS AGUJAS 68,2/09/2016
639,406850,GENTE 2668,1/09/2016
640,30000,GENTE ONE SHOT 15 GILDA,2/09/2016
641,500250,PAPARAZZI 774,2/09/2016
642,208500,PARA TI 4912,2/09/2016
643,14000,DIARIO DE IZQUIERDA 637,7/09/2016
644,395250,GENTE 2669,8/09/2016
645,500250,PAPARAZZI 775,8/09/2016
646,208500,PARA TI 4913,12/09/2016
647,45000,CUADERNO MADYGRAF,9/09/2016
648,185000,FOLLETOS PEROZZI OCTUBRE,29/09/2016
649,200000,FOLLETOS ALOISE OCTUBRE,12/09/2016
650,330000,FOLLETOS FAVA OCTUBRE,22/09/2016
651,107250,EL ALIJOR DEL BEBE 34,12/09/2016
652,172500,DECOPLUS 13,12/09/2016
653,112875,LA VALIJITA 156,12/09/2016
654,14000,DIARIO DE IZQUIERDA 638,13/09/2016
655,594000,GENTE 2670,17/09/2016
656,500250,PAPARAZZI 776,16/09/2016
657,208500,PARA TI 4914,16/09/2016
658,533,FOLLETOS Y DIPTICOS,20/09/2016
658,10000,FOLLETOS Y DIPTICOS,19/09/2016
659,669750,COSMOPOLITAN 242 SEPTIEMBRE,23/09/2016
660,14000,DIARIO DE IZQUIERDA 639,21/09/2016
661,7500,REVISTA DIDACTICA + CARTON,22/09/2016
662,97875,VANIDADES 56-14,22/09/2016
663,404300,GENTE 2671,13/10/2016
664,208500,PARA TI 4915,27/09/2016
665,543750,PAPARAZZI 777,26/09/2016
666,234000,TEJIDO CROCHET 23,29/09/2016
667,81250,GUIA DE PUNTOS CROCHET 23,13/10/2016
668,16000,DIARIO DE IZQUIERDA 640,29/09/2016
669,404300,GENTE 2672,13/10/2016
671,543750,PAPARAZZI 778,30/09/2016
672,50850,LA VALIJITA ESPECIAL 81,4/10/2016
673,7500,VOLANTE PAN Y ROSAS,5/10/2016
674,526750,GENTE 2673,13/10/2016
675,500250,PAPARAZZI 779,11/10/2016
676,262200,PARA TI 4917,7/10/2016
677,11250,CUADERNO MADYGRAF,12/10/2016
678,14000,DIARIO DE IZQUIERDA 641,12/10/2016
